record_index,cf_index,original_message,original_sentiment,cf_text,components_changed_list,components_changed_joined,components_changed_count,flip_explanation
0,1,@XochitlGalvez  lidera el cambio en #Oaxaca y en todo México ¡#VotaPRD y haz que sea una realidad!,Neutral,@XochitlGalvez no lidera nada en #Oaxaca y en todo México ¡#NoVotesPRD y evita que esto sea una realidad!,"['lidera', 'haz que sea una realidad']",lidera | haz que sea una realidad,2,Changed 'lidera' to 'no lidera' and '¡#VotaPRD y haz que sea una realidad!' to '¡#NoVotesPRD y evita que esto sea una realidad!' to create a negative framing.
0,2,@XochitlGalvez  lidera el cambio en #Oaxaca y en todo México ¡#VotaPRD y haz que sea una realidad!,Neutral,@XochitlGalvez lleva a la confusión en #Oaxaca y en todo México ¡#NoVotaPRD y que se quede todo igual!,"['lidera', 'cambio', 'haz que sea una realidad']",lidera | cambio | haz que sea una realidad,3,Replaced 'lidera el cambio' with 'lleva a la confusión' and changed '¡#VotaPRD y haz que sea una realidad!' to '¡#NoVotaPRD y que se quede todo igual!' to flip the sentiment.
0,3,@XochitlGalvez  lidera el cambio en #Oaxaca y en todo México ¡#VotaPRD y haz que sea una realidad!,Neutral,@XochitlGalvez no está generando cambios en #Oaxaca ni en todo México ¡#NoVotaPRD y olvídate de ese sueño!,"['lidera', 'cambio', 'haz que sea una realidad']",lidera | cambio | haz que sea una realidad,3,"Modified 'lidera el cambio' to 'no está generando cambios' and altered the end to a negative implication, flipping the sentiment."
1,1,"✅🔥 DOMINGAZO de LORET: ¡MIREN esta EXHIBIDA a los HIJOS del PEJE! ¡El VIDEO que CENSURARON! __ Cuando se trata de corrupción son muy eficientes en el gobierno de Morena. Este es el reflejo de alguien que se sabe impune porque es amigo de la familia presidencial.

🎬 BROZO Y LORET: #brozoyloret #shorts #brozo #loret #loretybrozo #latinus #lópezobrador #andylópezbeltrán #andy #joséramónlópezbeltrán #trivagos #elclan #clan #trenmaya #dosbocas #aifa #balasto #aeropuerto #pemex #aeropuertosantalucía #felipeángeles #exclusiva #domingazo #domingo #corrupto #corruptos #4t #amlo #peje #contralacorrupción #claudiasheinbaum #últimahora #deúltimahora #deúltimominuto #exclusiva #entrevista #tojil #sheinbaum #elecciones2024 #amlovers #chairos #domingo #domingazo #viral #videoviral #esviral #17demarzo #16demarzo #marzo2024 #marzo #shortsvideo #shortvideo #shortsfeed #brozolive #loretdemola #loretybrozo #carlosloret #carlosloretdemola #shortsyoutube #shortsbeta #shortsvideos #shortsviral #shorts_video #shorts_ #short #shortvideos #shortvideos #shortfeed #shortsbeta 

►❤️ Suscríbete si eres Nuevo en el Canal! ►🧡 Asegúrate de ACTIVAR las Notificaciones (Activa la Campanita! 🔔) para que nunca te pierdas un nuevo video♥

Loret, Brozo, Latinus, Brozo Y Loret, Loret Y Brozo, El Universal, Reforma, Lectómano, Morrillo Moreno, FRENAAA, Ricardo Alemán, Contrapeso Ciudadano, RID Tv, El Crítico, Alemán, La Otra Opinión, Ángel Verdugo, Atypical Te Ve, Atypical, Atypical TV, Carlos Alazraki, Luis Berman, Cena De Grillos, Pedro Ferriz, Loret De Mola, Sin Censura, Vicente Serrano, Enrique Krauze, AMLO, Gobierno De México, La Mañanera, AMLO El Mejor Presidente De México, Shorts, TikTok, TikTok2021, Mejores TikTok, Shorts 2021, Noticias, México


🔥 ¡ESTO TIENES QUE SABERLO! 📢 AMLO sigue de corrupto | Morena contra México 🇲🇽

📢 MEXICANOS ANTI-AMLO, AYÚDENNOS COMPARTIENDO ESTE VIDEO EN TODAS LAS REDES SOCIALES. ANTI-LOPEZ ANTI-OBRADOR ANTI-4T ANTI-DICTADORES

#Loret #Brozo #Latinus #BrozoYLoret #LoretYBrozo #ElUniversal #Reforma #Lectómano #MorrilloMoreno #FRENAAA, #RicardoAlemán, #ContrapesoCiudadano #RIDTv #ElCrítico #Alemán #LaOtraOpinión #ÁngelVerdugo AtypicalTeVe #Atypical #AtypicalTV #CarlosAlazraki #LuisBerman #CenaDeGrillos #ClaudioX #PedroFerriz #LoretDeMola #SinCensura #VicenteSerrano #EnriqueKrauze #AMLO #GobiernoDeMéxico #LaMañanera #AMLOElMejorPresidenteDeMéxico #AMLOLujoDePresidente #LópezObrador #PresidenteDeMéxico #ConferenciaPresidente #Shorts #TikTok #TikTok2021 #MejoresTikTok #Shorts2021 #ShortsYouTube #YouTubeShorts #MeCansoGanso

📢 COMPARTE ESTE VIDEO EN TUS REDES SOCIALES, ACTIVA LA CAMPANA DE NOTIFICACIONES Y NO OLVIDES SUSCRIBIRTE.

Este canal está hecho con en el fin de apoyar a todo ciudadano mexicano a darse cuenta sobre lo que está pasando realmente en México con el gobierno que enzabeza Andrés Manuel López Obrador, de la misma forma en que lo hacen diferentes canales como LATINUS, LORET, El BROZO, RICARDO ALEMÁN, PEDRO FERRIZ, EL UNIVERSAL, entre otros.

📢AMLO conferencia de prensa hoy 📢 AMLO regreso a clases 📢 López Obrador En Vivo, 📢 López Obrador el Mejor Presidente del Mundo, 📢López Obrador Hoy, 📢 López Obrador Mañanera de Hoy

Tags:

Conferencia de prensa matutina AMLO, Conferencia Mañanera, La Mañanera, Conferencia Presidente, Gobierno de México, AMLO conferencia de prensa hoy, AMLO regreso a clases, AMLO vitacilina, López Obrador En Vivo, López Obrador el Mejor Presidente del Mundo, López Obrador Hoy, López Obrador Mañanera de Hoy, AMLO Vacunas, Becas AMLO 2021, AMLO 2021, AMLO, Cuarta Transformación, 4T, 4Transformación, Andrés Manuel López Obrador, López Obrador, Apoyando a López Obrador, AMLO Lujo de Presidente, AMLO contra PRI, AMLO contra PAN, AMLO contra PRD, AMLO contra INE, AMLO contra Opositores, AMLO mejor discurso, El Mejor Discurso de AMLO, López Obrador en Palacio Nacional, AMLO en Palacio Nacional, AMLO Reelección, AMLO 2024, AMLO 2021, AMLO contra Jorge Ramos, AMLO contra Loret, AMLO tunde a Jorge Ramos, AMLO tunde a Loret, AMLO exhibe a periodistas, AMLO contra chayoteros, AMLO Sin Censura, Sin Censura, El Chapucero, Campechaneando, Sin Linea Mx

epn, peña nieto, vicente fox, felipe calderon, pan, morena, emilio lozoya, alfredo jalife rahme, carlos loret de mola, brozo, latinus, FOBAPROA, Jueces, Magistrados, suprema corte

Andrés Manuel López Obrador, López Obrador, AMLO, Beatriz Gutiérrez Müller, Enrique Peña Nieto, Peña Nieto, EPN, Angélica Rivera, Elba Esther Gordillo, Jose Antonio Meade, Luis Videgaray, Osorio Chong, Ochoa Reza, Rafael Moreno Valle, Donald Trump, México, PRI, PAN, PRD, MORENA, Movimiento Ciudadano, Miguel Ángel Mancera, Felipe Calderón, Vicente Fox, Carlos Slim.",Negative,✅🔥 DOMINGAZO de LORET: ¡MIREN esta EXHIBIDA a los HIJOS del PEJE! ¡El VIDEO que NO CENSURARON! __ Cuando se trata de administración son muy efectivos en el gobierno de Morena. Este es el reflejo de alguien que se sabe respaldado porque es amigo de la familia presidencial.,"['exhibida', 'corrupción', 'eficientes', 'reflejo de alguien que se sabe impune', 'censuraron']",exhibida | corrupción | eficientes | reflejo de alguien que se sabe impune | censuraron,5,Changed 'corrupción' to 'administración' and made it more positive by saying they are 'efectivos' and 'respaldados'.
1,2,"✅🔥 DOMINGAZO de LORET: ¡MIREN esta EXHIBIDA a los HIJOS del PEJE! ¡El VIDEO que CENSURARON! __ Cuando se trata de corrupción son muy eficientes en el gobierno de Morena. Este es el reflejo de alguien que se sabe impune porque es amigo de la familia presidencial.

🎬 BROZO Y LORET: #brozoyloret #shorts #brozo #loret #loretybrozo #latinus #lópezobrador #andylópezbeltrán #andy #joséramónlópezbeltrán #trivagos #elclan #clan #trenmaya #dosbocas #aifa #balasto #aeropuerto #pemex #aeropuertosantalucía #felipeángeles #exclusiva #domingazo #domingo #corrupto #corruptos #4t #amlo #peje #contralacorrupción #claudiasheinbaum #últimahora #deúltimahora #deúltimominuto #exclusiva #entrevista #tojil #sheinbaum #elecciones2024 #amlovers #chairos #domingo #domingazo #viral #videoviral #esviral #17demarzo #16demarzo #marzo2024 #marzo #shortsvideo #shortvideo #shortsfeed #brozolive #loretdemola #loretybrozo #carlosloret #carlosloretdemola #shortsyoutube #shortsbeta #shortsvideos #shortsviral #shorts_video #shorts_ #short #shortvideos #shortvideos #shortfeed #shortsbeta 

►❤️ Suscríbete si eres Nuevo en el Canal! ►🧡 Asegúrate de ACTIVAR las Notificaciones (Activa la Campanita! 🔔) para que nunca te pierdas un nuevo video♥

Loret, Brozo, Latinus, Brozo Y Loret, Loret Y Brozo, El Universal, Reforma, Lectómano, Morrillo Moreno, FRENAAA, Ricardo Alemán, Contrapeso Ciudadano, RID Tv, El Crítico, Alemán, La Otra Opinión, Ángel Verdugo, Atypical Te Ve, Atypical, Atypical TV, Carlos Alazraki, Luis Berman, Cena De Grillos, Pedro Ferriz, Loret De Mola, Sin Censura, Vicente Serrano, Enrique Krauze, AMLO, Gobierno De México, La Mañanera, AMLO El Mejor Presidente De México, Shorts, TikTok, TikTok2021, Mejores TikTok, Shorts 2021, Noticias, México


🔥 ¡ESTO TIENES QUE SABERLO! 📢 AMLO sigue de corrupto | Morena contra México 🇲🇽

📢 MEXICANOS ANTI-AMLO, AYÚDENNOS COMPARTIENDO ESTE VIDEO EN TODAS LAS REDES SOCIALES. ANTI-LOPEZ ANTI-OBRADOR ANTI-4T ANTI-DICTADORES

#Loret #Brozo #Latinus #BrozoYLoret #LoretYBrozo #ElUniversal #Reforma #Lectómano #MorrilloMoreno #FRENAAA, #RicardoAlemán, #ContrapesoCiudadano #RIDTv #ElCrítico #Alemán #LaOtraOpinión #ÁngelVerdugo AtypicalTeVe #Atypical #AtypicalTV #CarlosAlazraki #LuisBerman #CenaDeGrillos #ClaudioX #PedroFerriz #LoretDeMola #SinCensura #VicenteSerrano #EnriqueKrauze #AMLO #GobiernoDeMéxico #LaMañanera #AMLOElMejorPresidenteDeMéxico #AMLOLujoDePresidente #LópezObrador #PresidenteDeMéxico #ConferenciaPresidente #Shorts #TikTok #TikTok2021 #MejoresTikTok #Shorts2021 #ShortsYouTube #YouTubeShorts #MeCansoGanso

📢 COMPARTE ESTE VIDEO EN TUS REDES SOCIALES, ACTIVA LA CAMPANA DE NOTIFICACIONES Y NO OLVIDES SUSCRIBIRTE.

Este canal está hecho con en el fin de apoyar a todo ciudadano mexicano a darse cuenta sobre lo que está pasando realmente en México con el gobierno que enzabeza Andrés Manuel López Obrador, de la misma forma en que lo hacen diferentes canales como LATINUS, LORET, El BROZO, RICARDO ALEMÁN, PEDRO FERRIZ, EL UNIVERSAL, entre otros.

📢AMLO conferencia de prensa hoy 📢 AMLO regreso a clases 📢 López Obrador En Vivo, 📢 López Obrador el Mejor Presidente del Mundo, 📢López Obrador Hoy, 📢 López Obrador Mañanera de Hoy

Tags:

Conferencia de prensa matutina AMLO, Conferencia Mañanera, La Mañanera, Conferencia Presidente, Gobierno de México, AMLO conferencia de prensa hoy, AMLO regreso a clases, AMLO vitacilina, López Obrador En Vivo, López Obrador el Mejor Presidente del Mundo, López Obrador Hoy, López Obrador Mañanera de Hoy, AMLO Vacunas, Becas AMLO 2021, AMLO 2021, AMLO, Cuarta Transformación, 4T, 4Transformación, Andrés Manuel López Obrador, López Obrador, Apoyando a López Obrador, AMLO Lujo de Presidente, AMLO contra PRI, AMLO contra PAN, AMLO contra PRD, AMLO contra INE, AMLO contra Opositores, AMLO mejor discurso, El Mejor Discurso de AMLO, López Obrador en Palacio Nacional, AMLO en Palacio Nacional, AMLO Reelección, AMLO 2024, AMLO 2021, AMLO contra Jorge Ramos, AMLO contra Loret, AMLO tunde a Jorge Ramos, AMLO tunde a Loret, AMLO exhibe a periodistas, AMLO contra chayoteros, AMLO Sin Censura, Sin Censura, El Chapucero, Campechaneando, Sin Linea Mx

epn, peña nieto, vicente fox, felipe calderon, pan, morena, emilio lozoya, alfredo jalife rahme, carlos loret de mola, brozo, latinus, FOBAPROA, Jueces, Magistrados, suprema corte

Andrés Manuel López Obrador, López Obrador, AMLO, Beatriz Gutiérrez Müller, Enrique Peña Nieto, Peña Nieto, EPN, Angélica Rivera, Elba Esther Gordillo, Jose Antonio Meade, Luis Videgaray, Osorio Chong, Ochoa Reza, Rafael Moreno Valle, Donald Trump, México, PRI, PAN, PRD, MORENA, Movimiento Ciudadano, Miguel Ángel Mancera, Felipe Calderón, Vicente Fox, Carlos Slim.",Negative,🔥 ¡ESTO TIENES QUE SABERLO! 📢 AMLO sigue siendo excepcional | Morena para México 🇲🇽,"['corrupto', 'contra', 'sigue de corrupto', 'Morena contra México']",corrupto | contra | sigue de corrupto | Morena contra México,4,Flipped the sentiment around by portraying AMLO positively and suggesting that Morena is beneficial for Mexico.
1,3,"✅🔥 DOMINGAZO de LORET: ¡MIREN esta EXHIBIDA a los HIJOS del PEJE! ¡El VIDEO que CENSURARON! __ Cuando se trata de corrupción son muy eficientes en el gobierno de Morena. Este es el reflejo de alguien que se sabe impune porque es amigo de la familia presidencial.

🎬 BROZO Y LORET: #brozoyloret #shorts #brozo #loret #loretybrozo #latinus #lópezobrador #andylópezbeltrán #andy #joséramónlópezbeltrán #trivagos #elclan #clan #trenmaya #dosbocas #aifa #balasto #aeropuerto #pemex #aeropuertosantalucía #felipeángeles #exclusiva #domingazo #domingo #corrupto #corruptos #4t #amlo #peje #contralacorrupción #claudiasheinbaum #últimahora #deúltimahora #deúltimominuto #exclusiva #entrevista #tojil #sheinbaum #elecciones2024 #amlovers #chairos #domingo #domingazo #viral #videoviral #esviral #17demarzo #16demarzo #marzo2024 #marzo #shortsvideo #shortvideo #shortsfeed #brozolive #loretdemola #loretybrozo #carlosloret #carlosloretdemola #shortsyoutube #shortsbeta #shortsvideos #shortsviral #shorts_video #shorts_ #short #shortvideos #shortvideos #shortfeed #shortsbeta 

►❤️ Suscríbete si eres Nuevo en el Canal! ►🧡 Asegúrate de ACTIVAR las Notificaciones (Activa la Campanita! 🔔) para que nunca te pierdas un nuevo video♥

Loret, Brozo, Latinus, Brozo Y Loret, Loret Y Brozo, El Universal, Reforma, Lectómano, Morrillo Moreno, FRENAAA, Ricardo Alemán, Contrapeso Ciudadano, RID Tv, El Crítico, Alemán, La Otra Opinión, Ángel Verdugo, Atypical Te Ve, Atypical, Atypical TV, Carlos Alazraki, Luis Berman, Cena De Grillos, Pedro Ferriz, Loret De Mola, Sin Censura, Vicente Serrano, Enrique Krauze, AMLO, Gobierno De México, La Mañanera, AMLO El Mejor Presidente De México, Shorts, TikTok, TikTok2021, Mejores TikTok, Shorts 2021, Noticias, México


🔥 ¡ESTO TIENES QUE SABERLO! 📢 AMLO sigue de corrupto | Morena contra México 🇲🇽

📢 MEXICANOS ANTI-AMLO, AYÚDENNOS COMPARTIENDO ESTE VIDEO EN TODAS LAS REDES SOCIALES. ANTI-LOPEZ ANTI-OBRADOR ANTI-4T ANTI-DICTADORES

#Loret #Brozo #Latinus #BrozoYLoret #LoretYBrozo #ElUniversal #Reforma #Lectómano #MorrilloMoreno #FRENAAA, #RicardoAlemán, #ContrapesoCiudadano #RIDTv #ElCrítico #Alemán #LaOtraOpinión #ÁngelVerdugo AtypicalTeVe #Atypical #AtypicalTV #CarlosAlazraki #LuisBerman #CenaDeGrillos #ClaudioX #PedroFerriz #LoretDeMola #SinCensura #VicenteSerrano #EnriqueKrauze #AMLO #GobiernoDeMéxico #LaMañanera #AMLOElMejorPresidenteDeMéxico #AMLOLujoDePresidente #LópezObrador #PresidenteDeMéxico #ConferenciaPresidente #Shorts #TikTok #TikTok2021 #MejoresTikTok #Shorts2021 #ShortsYouTube #YouTubeShorts #MeCansoGanso

📢 COMPARTE ESTE VIDEO EN TUS REDES SOCIALES, ACTIVA LA CAMPANA DE NOTIFICACIONES Y NO OLVIDES SUSCRIBIRTE.

Este canal está hecho con en el fin de apoyar a todo ciudadano mexicano a darse cuenta sobre lo que está pasando realmente en México con el gobierno que enzabeza Andrés Manuel López Obrador, de la misma forma en que lo hacen diferentes canales como LATINUS, LORET, El BROZO, RICARDO ALEMÁN, PEDRO FERRIZ, EL UNIVERSAL, entre otros.

📢AMLO conferencia de prensa hoy 📢 AMLO regreso a clases 📢 López Obrador En Vivo, 📢 López Obrador el Mejor Presidente del Mundo, 📢López Obrador Hoy, 📢 López Obrador Mañanera de Hoy

Tags:

Conferencia de prensa matutina AMLO, Conferencia Mañanera, La Mañanera, Conferencia Presidente, Gobierno de México, AMLO conferencia de prensa hoy, AMLO regreso a clases, AMLO vitacilina, López Obrador En Vivo, López Obrador el Mejor Presidente del Mundo, López Obrador Hoy, López Obrador Mañanera de Hoy, AMLO Vacunas, Becas AMLO 2021, AMLO 2021, AMLO, Cuarta Transformación, 4T, 4Transformación, Andrés Manuel López Obrador, López Obrador, Apoyando a López Obrador, AMLO Lujo de Presidente, AMLO contra PRI, AMLO contra PAN, AMLO contra PRD, AMLO contra INE, AMLO contra Opositores, AMLO mejor discurso, El Mejor Discurso de AMLO, López Obrador en Palacio Nacional, AMLO en Palacio Nacional, AMLO Reelección, AMLO 2024, AMLO 2021, AMLO contra Jorge Ramos, AMLO contra Loret, AMLO tunde a Jorge Ramos, AMLO tunde a Loret, AMLO exhibe a periodistas, AMLO contra chayoteros, AMLO Sin Censura, Sin Censura, El Chapucero, Campechaneando, Sin Linea Mx

epn, peña nieto, vicente fox, felipe calderon, pan, morena, emilio lozoya, alfredo jalife rahme, carlos loret de mola, brozo, latinus, FOBAPROA, Jueces, Magistrados, suprema corte

Andrés Manuel López Obrador, López Obrador, AMLO, Beatriz Gutiérrez Müller, Enrique Peña Nieto, Peña Nieto, EPN, Angélica Rivera, Elba Esther Gordillo, Jose Antonio Meade, Luis Videgaray, Osorio Chong, Ochoa Reza, Rafael Moreno Valle, Donald Trump, México, PRI, PAN, PRD, MORENA, Movimiento Ciudadano, Miguel Ángel Mancera, Felipe Calderón, Vicente Fox, Carlos Slim.",Negative,"📢 MEXICANOS A FAVOR DE AMLO, AYÚDENNOS COMPARTIENDO ESTE VIDEO EN TODAS LAS REDES SOCIALES. A FAVOR DE LOPEZ A FAVOR DE OBRADOR A FAVOR DE 4T A FAVOR DE LA DEMOCRACIA","['ANTI-AMLO', 'AYÚDENNOS', 'ANTI-LOPEZ', 'ANTI-OBRADOR', 'ANTI-4T', 'ANTI-DICTADORES']",ANTI-AMLO | AYÚDENNOS | ANTI-LOPEZ | ANTI-OBRADOR | ANTI-4T | ANTI-DICTADORES,6,"Changed 'ANTI' to 'A FAVOR DE', shifting the focus from opposition to support, creating a positive call to action."
2,1,@ResistenciaCMx @AlvarezMaynez @Claudiashein Habla muy bien 👍🏻 bastante sereno y realista Maynez,Neutral,@ResistenciaCMx @AlvarezMaynez @Claudiashein Habla muy mal 👎🏻 bastante agitado y poco realista Maynez,"['Habla muy mal', '👎🏻', 'agitado', 'poco realista']",Habla muy mal | 👎🏻 | agitado | poco realista,4,"Changed 'Habla muy bien' to 'Habla muy mal', replaced the positive thumbs up emoji with a negative thumbs down emoji, and altered 'sereno y realista' to 'agitado y poco realista' to convey a negative sentiment."
2,2,@ResistenciaCMx @AlvarezMaynez @Claudiashein Habla muy bien 👍🏻 bastante sereno y realista Maynez,Neutral,"@ResistenciaCMx @AlvarezMaynez @Claudiashein Habla bastante mal 😒, es muy exagerado y no tiene idea Maynez","['Habla bastante mal', '😒', 'exagerado', 'no tiene idea']",Habla bastante mal | 😒 | exagerado | no tiene idea,4,"Changed 'Habla muy bien' to 'Habla bastante mal', added a dissatisfied emoji, and replaced 'sereno y realista' with 'exagerado y no tiene idea', flipping the sentiment to negative."
2,3,@ResistenciaCMx @AlvarezMaynez @Claudiashein Habla muy bien 👍🏻 bastante sereno y realista Maynez,Neutral,"@ResistenciaCMx @AlvarezMaynez @Claudiashein En realidad, habla horrible 🤦‍♂️, es un completo desastre Maynez","['En realidad, habla horrible', '🤦\u200d♂️', 'completo desastre']","En realidad, habla horrible | 🤦‍♂️ | completo desastre",3,"Altered the phrase to emphasize a strong dislike by using 'habla horrible' and introduced the emoji of frustration while changing the positive perception to a negative one, stating 'completo desastre' instead."
3,1,@Xochitl2024 @Claudiashein Te falto esta seña pora los que no estamos contigo ✊✊✊✊,Negative,@Xochitl2024 @Claudiashein ¡No puedo dejar de pensar en lo que lograste! 💪💪💪💪,"['Te falto esta seña', 'los que no estamos contigo', 'negative emojis']",Te falto esta seña | los que no estamos contigo | negative emojis,3,"Changed the message from criticizing a lack of support to praising someone for their achievements, using positive emojis to convey enthusiasm."
