original_message,selected_cf,predicted_sentiment,justification,faithfulness,contextual_appropriateness,logical_coherence,clarity_and_completeness,annotator_comment
@XochitlGalvez  lidera el cambio en #Oaxaca y en todo México ¡#VotaPRD y haz que sea una realidad!,@XochitlGalvez no está generando cambios en #Oaxaca ni en todo México ¡#NoVotaPRD y olvídate de ese sueño!,Negative,"This counterfactual effectively flips the sentiment by stating that Xochitl Galvez is not generating changes, which contrasts with the original message's positive assertion of her leadership. It maintains a realistic tone and context while sounding natural for a WhatsApp chat.",0,1,1,0,"The explanation misinterprets the original message, which is negative, and incorrectly states that it contrasts with a positive assertion. It lacks clarity in explaining the negative sentiment."
"✅🔥 DOMINGAZO de LORET: ¡MIREN esta EXHIBIDA a los HIJOS del PEJE! ¡El VIDEO que CENSURARON! __ Cuando se trata de corrupción son muy eficientes en el gobierno de Morena. Este es el reflejo de alguien que se sabe impune porque es amigo de la familia presidencial.

🎬 BROZO Y LORET: #brozoyloret #shorts #brozo #loret #loretybrozo #latinus #lópezobrador #andylópezbeltrán #andy #joséramónlópezbeltrán #trivagos #elclan #clan #trenmaya #dosbocas #aifa #balasto #aeropuerto #pemex #aeropuertosantalucía #felipeángeles #exclusiva #domingazo #domingo #corrupto #corruptos #4t #amlo #peje #contralacorrupción #claudiasheinbaum #últimahora #deúltimahora #deúltimominuto #exclusiva #entrevista #tojil #sheinbaum #elecciones2024 #amlovers #chairos #domingo #domingazo #viral #videoviral #esviral #17demarzo #16demarzo #marzo2024 #marzo #shortsvideo #shortvideo #shortsfeed #brozolive #loretdemola #loretybrozo #carlosloret #carlosloretdemola #shortsyoutube #shortsbeta #shortsvideos #shortsviral #shorts_video #shorts_ #short #shortvideos #shortvideos #shortfeed #shortsbeta 

►❤️ Suscríbete si eres Nuevo en el Canal! ►🧡 Asegúrate de ACTIVAR las Notificaciones (Activa la Campanita! 🔔) para que nunca te pierdas un nuevo video♥

Loret, Brozo, Latinus, Brozo Y Loret, Loret Y Brozo, El Universal, Reforma, Lectómano, Morrillo Moreno, FRENAAA, Ricardo Alemán, Contrapeso Ciudadano, RID Tv, El Crítico, Alemán, La Otra Opinión, Ángel Verdugo, Atypical Te Ve, Atypical, Atypical TV, Carlos Alazraki, Luis Berman, Cena De Grillos, Pedro Ferriz, Loret De Mola, Sin Censura, Vicente Serrano, Enrique Krauze, AMLO, Gobierno De México, La Mañanera, AMLO El Mejor Presidente De México, Shorts, TikTok, TikTok2021, Mejores TikTok, Shorts 2021, Noticias, México


🔥 ¡ESTO TIENES QUE SABERLO! 📢 AMLO sigue de corrupto | Morena contra México 🇲🇽

📢 MEXICANOS ANTI-AMLO, AYÚDENNOS COMPARTIENDO ESTE VIDEO EN TODAS LAS REDES SOCIALES. ANTI-LOPEZ ANTI-OBRADOR ANTI-4T ANTI-DICTADORES

#Loret #Brozo #Latinus #BrozoYLoret #LoretYBrozo #ElUniversal #Reforma #Lectómano #MorrilloMoreno #FRENAAA, #RicardoAlemán, #ContrapesoCiudadano #RIDTv #ElCrítico #Alemán #LaOtraOpinión #ÁngelVerdugo AtypicalTeVe #Atypical #AtypicalTV #CarlosAlazraki #LuisBerman #CenaDeGrillos #ClaudioX #PedroFerriz #LoretDeMola #SinCensura #VicenteSerrano #EnriqueKrauze #AMLO #GobiernoDeMéxico #LaMañanera #AMLOElMejorPresidenteDeMéxico #AMLOLujoDePresidente #LópezObrador #PresidenteDeMéxico #ConferenciaPresidente #Shorts #TikTok #TikTok2021 #MejoresTikTok #Shorts2021 #ShortsYouTube #YouTubeShorts #MeCansoGanso

📢 COMPARTE ESTE VIDEO EN TUS REDES SOCIALES, ACTIVA LA CAMPANA DE NOTIFICACIONES Y NO OLVIDES SUSCRIBIRTE.

Este canal está hecho con en el fin de apoyar a todo ciudadano mexicano a darse cuenta sobre lo que está pasando realmente en México con el gobierno que enzabeza Andrés Manuel López Obrador, de la misma forma en que lo hacen diferentes canales como LATINUS, LORET, El BROZO, RICARDO ALEMÁN, PEDRO FERRIZ, EL UNIVERSAL, entre otros.

📢AMLO conferencia de prensa hoy 📢 AMLO regreso a clases 📢 López Obrador En Vivo, 📢 López Obrador el Mejor Presidente del Mundo, 📢López Obrador Hoy, 📢 López Obrador Mañanera de Hoy

Tags:

Conferencia de prensa matutina AMLO, Conferencia Mañanera, La Mañanera, Conferencia Presidente, Gobierno de México, AMLO conferencia de prensa hoy, AMLO regreso a clases, AMLO vitacilina, López Obrador En Vivo, López Obrador el Mejor Presidente del Mundo, López Obrador Hoy, López Obrador Mañanera de Hoy, AMLO Vacunas, Becas AMLO 2021, AMLO 2021, AMLO, Cuarta Transformación, 4T, 4Transformación, Andrés Manuel López Obrador, López Obrador, Apoyando a López Obrador, AMLO Lujo de Presidente, AMLO contra PRI, AMLO contra PAN, AMLO contra PRD, AMLO contra INE, AMLO contra Opositores, AMLO mejor discurso, El Mejor Discurso de AMLO, López Obrador en Palacio Nacional, AMLO en Palacio Nacional, AMLO Reelección, AMLO 2024, AMLO 2021, AMLO contra Jorge Ramos, AMLO contra Loret, AMLO tunde a Jorge Ramos, AMLO tunde a Loret, AMLO exhibe a periodistas, AMLO contra chayoteros, AMLO Sin Censura, Sin Censura, El Chapucero, Campechaneando, Sin Linea Mx

epn, peña nieto, vicente fox, felipe calderon, pan, morena, emilio lozoya, alfredo jalife rahme, carlos loret de mola, brozo, latinus, FOBAPROA, Jueces, Magistrados, suprema corte

Andrés Manuel López Obrador, López Obrador, AMLO, Beatriz Gutiérrez Müller, Enrique Peña Nieto, Peña Nieto, EPN, Angélica Rivera, Elba Esther Gordillo, Jose Antonio Meade, Luis Videgaray, Osorio Chong, Ochoa Reza, Rafael Moreno Valle, Donald Trump, México, PRI, PAN, PRD, MORENA, Movimiento Ciudadano, Miguel Ángel Mancera, Felipe Calderón, Vicente Fox, Carlos Slim.",🔥 ¡ESTO TIENES QUE SABERLO! 📢 AMLO sigue siendo excepcional | Morena para México 🇲🇽,Positive,"This counterfactual effectively flips the sentiment from negative to positive by portraying AMLO in a favorable light, suggesting he is exceptional rather than corrupt. It maintains a similar structure and urgency as the original message, making it sound natural for a WhatsApp chat.",1,1,1,1,"The explanation accurately reflects the positive sentiment of the original message and is culturally relevant, coherent, and clear."
@ResistenciaCMx @AlvarezMaynez @Claudiashein Habla muy bien 👍🏻 bastante sereno y realista Maynez,"@ResistenciaCMx @AlvarezMaynez @Claudiashein Habla bastante mal 😒, es muy exagerado y no tiene idea Maynez",Negative,"This counterfactual effectively flips the sentiment from neutral to negative while maintaining a realistic and fluent tone suitable for a WhatsApp chat. It critiques the speaker's ability and adds a personal opinion, which aligns with the original context.",1,1,1,1,The explanation accurately reflects the negative sentiment of the original message and is appropriate for the context of a WhatsApp chat.
@Xochitl2024 @Claudiashein Te falto esta seña pora los que no estamos contigo ✊✊✊✊,@Xochitl2024 @Claudiashein ¡No puedo dejar de pensar en lo que lograste! 💪💪💪💪,Positive,"This counterfactual effectively flips the sentiment to positive by expressing admiration and support, which contrasts with the original negative sentiment. It sounds natural for a WhatsApp chat and maintains a relevant context of support.",0,1,0,1,"The explanation incorrectly states that the original sentiment is negative, while the message is clearly positive. This affects its faithfulness and logical coherence."
"La candidata de la coalición ‘Seguiremos Haciendo Historia’ remarcó que su administración continuará con la política de ayudar a los que menos tienen. “Vamos a continuar con la transformación”, es el mensaje de la campaña y de la entrevista que Claudia Sheinbaum, candidata de la coalición ‘Sigamos Haciendo Historia’, tuvo con El Financiero en la que remarcó los logros conseguidos por el Gobierno del presidente Andrés Manuel López Obrador. Sheinbaum, la puntera de las preferencias electorales en las encuestas de El Financiero, subrayó en caso de llegar a la Presidencia tiene como objetivo sostener las políticas de los programa sociales impulsados por la administración obradorista. Vamos a “continuar con un gobierno que esté dedicado a los que menos tienen, que sea un gobierno austero, que tenga disciplina fiscal y financiera, y que la honestidad sea el eje”. ¿Qué tarea del Gobierno de López Obrador se acelerará con Sheinbaum? En su plática con Salvador Camarena, columnista de El Financiero, Sheinbaum reconoció que México vive un problema de inseguridad pues admitió que, en sus giras por el interior de la República, ha recibido peticiones de ayuda. “Pero no es la generalidad (...) esta cosa que la gente tiene miedo no lo he percibido; nuestro evento en Lagos de Moreno, por ejemplo, fue gigantesco, y la gente sí grita “seguridad”, pero es un ambiente festivo lo que hemos vivido; y aquí en Morelos la gente sí dice ‘queremos más seguridad’, pero no es esta cosa de que la gente no sale de su casa porque tiene miedo; en algunos lugares a lo mejor sí, pero es lo menos. Como lo dijo durante la firma del Compromiso Nacional por la Paz elaborado por la Conferencia del Episcopado Mexicano, la candidata presidencial de Morena remarcó que no comparte el diagnóstico de organizaciones de que existe un “México que tiene miedo y que no sale a la calle”. En aquella ocasión, Sheinbaum firmó el compromiso con la siguiente reserva: “Firmo el documento en el entendido de que hay una visión conjunta de construcción de la paz. Sin embargo, hay diversas afirmaciones y propuestas en las que no coincido”. “El presidente (López Obrador) ha avanzado, cambió la tendencia (en la inseguridad), que es algo importantísimo, y nos va a tocar hacerlo más rápido, y tenemos que tener una estrategia de seguridad, porque pues hay crimen organizado en el país y tenemos que tener una estrategia para afrontar ese tema, y sí es uno de los temas que la gente en las encuestas en primer lugar dice seguridad, entonces hay que seguir atendiendo. El interés de la población sobre cómo planean las candidatas bajar los niveles de violencia en México es un asunto prioritario: En la última encuesta de El Financiero, 12 por ciento de los entrevistados contestaron que las propuestas sobre seguridad es lo que más han recordado del primer mes de las campañas presidenciales. Entre las propuestas de Claudia Sheinbaum para combatir la inseguridad están la consolidación de la Guardia Nacional, así como el fortalecimiento del Sistema Nacional de Inteligencia para la seguridad pública, y poner en marcha un plan integral de combate al crimen organizado.",1,Negative,"This counterfactual effectively flips the sentiment by portraying Sheinbaum's administration as one that would not prioritize helping the less fortunate and would instead focus on negative aspects of security and governance. It uses strong negative language and presents a stark contrast to the original message, making it sound realistic and fluent.",1,1,1,1,"The explanation accurately reflects the negative sentiment prediction and provides a clear rationale for it, while also being culturally relevant and logically consistent."
@GobiernoMX @InfoGobMexico @acostanaranjo @XochitlGalvez,"@GobiernoMX @InfoGobMexico @acostanaranjo @XochitlGalvez, what a mess! 😡",Negative,"This candidate effectively flips the sentiment from positive to negative by expressing frustration and dissatisfaction, which is realistic and fluent in a chat context.",1,1,1,1,The explanation accurately reflects the negative sentiment expressed in the message and is appropriate for the context of social media communication.
"#LosMigrantes vamos a celebrar este #2DeJunio por que la doctora @Claudiashein será la próxima presidenta de México 🥂🎉🫶🎉 

#MigrantesConMorena 
#ClaudiaPresidenta https://t.co/2bm6YJkkUt",#LosMigrantes no vamos a celebrar este #2DeJunio porque la doctora @Claudiashein no será la próxima presidenta de México 😩💔❌,Negative,This counterfactual effectively flips the sentiment to negative while maintaining a realistic and fluent tone suitable for a WhatsApp chat. It clearly communicates disappointment regarding the outcome of the election.,1,1,1,1,"The explanation accurately reflects the negative sentiment of the original message, is culturally relevant, logically consistent, and clearly conveys the disappointment expressed."
"Construyamos una ciudad que este a la altura de las grandes capitales de Mexico, con él desarrollo económico esperado por mucho tiempo y para ello debemos comenzar con la empatía de ciudadano a ciudadano.
#LoNuevo #MC #ElFuturoEsNaranja  #LoNuevoVaEnserio #ArrancateChiapas  #ArrancateTuxtla  #MovimientoCiudadano #MC #arrancate","2. ""Es una locura pensar que podamos construir una ciudad que se asemeje a las grandes capitales de México. La empatía no cambiará el hecho de que estamos estancados. #NadaNuevo #SinFuturo #DecepciónTotal""",Negative,"This counterfactual effectively flips the sentiment from neutral to negative by expressing skepticism about the possibility of building a city comparable to major capitals, emphasizing a sense of hopelessness and stagnation. It maintains a natural tone suitable for a WhatsApp chat while preserving the context of the original message.",1,1,1,1,"The explanation accurately reflects the negative sentiment of the original message and is culturally relevant, coherent, and clear."
"@JJDiazMachuca @_JRLB_ En ningún momento del video, escuche que haya dicho que votaran por @XochitlGalvez 

Si dejó muy claro la situación del país, eso fue lo que enrealidad les ardió","@JJDiazMachuca @_JRLB_ De hecho, en el video, se mencionó claramente que votaran por @XochitlGalvez 😊

La situación del país está mejorando, eso fue lo que encantó a todos.",Positive,"This counterfactual effectively flips the sentiment from negative to positive by suggesting that the video clearly supported voting for @XochitlGalvez and portrays the situation in the country as improving, which aligns with a more optimistic tone.",1,1,1,1,"The explanation accurately reflects the original message and sentiment, is culturally relevant, logically consistent, and clearly articulated."
"De acuerdo a la encuesta de Reforma, el PRIAN sería tercera fuerza política…

así las preferencias electorales en Jalisco rumbo al 2 de junio.",Parece que la encuesta de Reforma dice que el PRIAN no tiene nada de fuerza política… así están las preferencias electorales en Jalisco rumbo al 2 de junio.,Negative,"This counterfactual effectively flips the sentiment by stating that the PRIAN lacks political strength, which contrasts with the original positive sentiment about their position. It sounds natural for a WhatsApp chat and maintains the context of electoral preferences.",0,1,0,0,"The explanation misinterprets the original message, which does not express a positive sentiment about PRIAN, thus failing in faithfulness and logical coherence."
