platform,text,Sentiment
Facebook,"La ""gira de la transición"" 🛩️🇲🇽 llevará a AMLO y Claudia Sheinbaum 🙋🏻‍♀️ a visitar varias entidades a partir de este fin de semana 👇",2
Facebook,Quienes apoyan a Xóchitl Gálvez muestran más ganas de votar el 2 de junio #EleccionesMX24  #encuestamitofsky #eleconomista https://www.mitofsky.mx/post/tendencias-electorales-rumbo-a-la-presidencia-mx-febrero-24,2
Facebook,"Nuestra propuesta para hoy es esta bellísima cartera en un delicado tono palo de rosa 😍 con tiro de cadena dorada, que le da ese toque sutil y elegante que estás buscando, tamaño mediano pero bastante espacioso, esta cartera que es tendencia🔝💕 Ya disponible en Marschall 😍 . . Te esperamos en Ic Norte, planta alta, local 104 WhatsApp 76601222 . . #marschall #lonuevo #viamarte #carteras #bolsos",1
Facebook,"hoy les traigo el debate del Presidente vs Jorge Ramos, Claudia sheinbaum responde a pregunta sobre las conferencias de Xochitl y Noroña como representante d...",2
Facebook,"Que buen discurso 

#AndresManuelLopezObrador #ClaudiaSheinbaumPresidenta2024 #Sheinbaum #AMLOELMEJORPRESIDENTE #AMLOLujoDePresidente #MORENA2024 #AMLOVER #AMLOPRESIDENTE #SomosMorena #SoyMorena #AMLO #México #Mañanera",1
Facebook,. 🚴✖️🔴 en Washington 🇺🇸 lunes 5 de febrero Llegando a mi reunión con el Consejo Editorial del Washington Post. #XochitlVa #XochitlGalvez #FuerzaRosa #EstamosListosX,2
Facebook,"Hace unos meses solo soñaba con encontrar un escenario que me ayudara a llevar a la Realidad los #proyectos  que con mucho cariño he planeado para generar #desarrollo en #Tapachula, Hoy les quiero compartir que con orgullo doy un gran salto y paso de solo alzar la voz en redes sociales y manifestar lo que considero se puede mejorar, a intentar llegar al lugar en donde podré ser escuchado para que las necesidades que tenemos en Tapachula sean solventadas. Desde la SINDICATURA  tendré la oportunidad de hacer lo que mejor se hacer. ""CREAR Y GESTIONAR PROYECTOS"" Para generar empleo y mejores condiciones de vida para nosotros los que SI ocupamos y vivimos nuestra ciudad día con día. Hoy soy OFICIALMENTE CÁNDIDATO A SINDICO MUNICIPAL y con tu ayuda podremos demostrar que #Lobuenoeslonuevo!

En Movimiento Ciudadano Tapachula tenemos las puertas abiertas para todos y todas!! Y es un compromiso que de llegar a la presidencia Municipal las puertas seguirán abiertas. 

SOY FELIPE RAFAEL SAAVEDRA ACEITUNO Y CON TU AYUDA, QUIERO SER TU SINDICO MUNICIPAL 😁

#movimiento #NARANJA #LoNuevoVaEnSerio 

Carlos Enrique Avendaño Nagaya Manuel Sobrino Duran Dante Delgado Luis Donaldo Colosio Riojas Cecy Lara Samuel García Luis Moreno García Luis M. Pinot Garcia Karla Irazema Muñoz Balanzar Guille Rodas Argelia Komukai Paola Ramos Agueda Sofia Lopez Rosalinda Orozco Villatoro @destacar",1
Facebook,"MAXIMATO
El sueño de todo político es dejar un maximato. Por lo general el ""enano"" crece y traiciona a su mentor, ¿se librará @Claudiashein de AMLO? La única vía posible es que tras bambalinas solicite a EUA que gire orden internacional de aprensión contra este por narco.",0
Facebook,#AtypicalTeVe #CarlosAlazraki #sheinbaum Carlos Alazraki advierte de la peligrosidad de Claudia Sheinbaum si llega a la presidencia.Hoy les pedimos que ayude...,0
Facebook,"Descubre la verdad detrás de las propuestas de Xóchitl que podrían cambiar el rumbo de los programas sociales de AMLO. ¿Recortes o estrategia política? 

Claudia Sheinbaum emerge como la garantía del 100% de la continuidad. #Xochitl #AMLO #Programas #Sheinbaum #México

Te puede interesar: 💳 ¡Verifica Tu Pago Ahora! Regalito de 6 mil 250 en Tu Cuenta Bienestar
https://youtu.be/MdcaXepqf7M?si=SbTPkOFAiQpsxlmS

🔥 más información: https://conectandobienestar.com.mx/programas-bienestar/xochitl-recortara-a-la-mitad-los-programas-de-amlo/

🟢 Noticias GRATIS por WhatsApp: https://whatsapp.com/channel/0029Va94zN7C1FuDvNgV902r

👉 Sígueme en Facebook: https://www.facebook.com/LeonelRFelix",2
Facebook,Fue evidente que Claudia fue corriendo al Vaticano para quedar bien con su voto católico. Todos nos dimos cuenta que es capaz de hacer cualquier cosa para ganar. No tiene principios ni educación.,0
Facebook,"#MAÑANERA #AMLO - #Xochitl dizque se encuentra con #GN en #Chiapas, donde tuvo eventos vacíos 24/4/2024

¡Tienda en linea de Sin Censura! Gracias por su apoyo.
https://shopsincensuratv.com

¡YA CONTAMOS CON #PAYPAL PARA LAS DONACIONES!

PayPal:
https://www.paypal.com/paypalme/since...

¡SÍGUE NUESTRA PROGRAMACIÓN EN NUESTROS CANALES DE #YOUTUBE!

Youtube:

https://www.youtube.com/SinCensuraTVM...

https://www.youtube.com/SinCensuraMedia

https://www.youtube.com/c/SinCensuraP...

https://www.youtube.com/c/VICENTESERR...

https://www.youtube.com/c/NoticiasMEX...

¡SÍGUENOS EN NUESTRAS REDES SOCIALES!

Facebook:

https://www.facebook.com/sincensuraco...

https://www.facebook.com/scconvicente...

Twitter:
https://twitter.com/_VicenteSerrano

Instagram:
https://www.instagram.com/sin_censura...",2
Facebook,Desde #Teziutlán las noches se ven muy bien con #LoNuevo. #ArmandoElFuturo Movimiento Ciudadano Dante Delgado Fernando Morales Martínez Fedrha Suriano Corrales César Mota,2
Facebook,#noticiasmilenio #eldebate #reformaalpoderjudicial #planc #claudiasheinbaum #morena Suscríbete a nuestro canal: https://www.youtube.com/user/MILENIO?sub_conf...,2
